,Denominator,Numerator,Weighted % ,"Lower 95%
Confidence Interval","Upper 95%
Confidence Interval",Year,Health Care Services,Sites,State,Region,Stabr
499,986,834,86.0,83.1,88.4,2020,Began prenatal care in 1st trimester,Maryland,Maryland,South,MD
500,1373,1201,89.7,87.5,91.5,2020,Began prenatal care in 1st trimester,Massachusetts,Massachusetts,Northeast,MA
501,1359,1140,85.8,83.5,87.9,2020,Began prenatal care in 1st trimester,Michigan,Michigan,Midwest,MI
502,613,531,87.2,82.9,90.5,2020,Began prenatal care in 1st trimester,Minnesota,Minnesota,Midwest,MN
503,977,790,82.7,79.5,85.6,2020,Began prenatal care in 1st trimester,Mississippi,Mississippi,South,MS
504,940,827,88.1,85.5,90.3,2020,Began prenatal care in 1st trimester,Missouri,Missouri,Midwest,MO
505,696,598,88.4,85.5,90.7,2020,Began prenatal care in 1st trimester,Montana,Montana,West,MT
506,1462,1234,88.4,86.2,90.3,2020,Began prenatal care in 1st trimester,Nebraska,Nebraska,Midwest,NE
507,638,599,94.6,92.0,96.3,2020,Began prenatal care in 1st trimester,New Hampshire,New Hampshire,Northeast,NH
508,1067,910,86.2,83.9,88.3,2020,Began prenatal care in 1st trimester,New Jersey,New Jersey,Northeast,NJ
509,1024,886,84.4,81.9,86.7,2020,Began prenatal care in 1st trimester,New Mexico,New Mexico,West,NM
510,763,621,87.3,84.1,90.0,2020,Began prenatal care in 1st trimester,North Dakota,North Dakota,Midwest,ND
511,1614,1382,89.1,86.6,91.1,2020,Began prenatal care in 1st trimester,Oregon,Oregon,West,OR
512,1178,1010,85.0,82.5,87.2,2020,Began prenatal care in 1st trimester,Pennsylvania,Pennsylvania,Northeast,PA
513,928,764,85.6,83.1,87.8,2020,Began prenatal care in 1st trimester,South Dakota,South Dakota,Midwest,SD
514,594,492,84.6,80.3,88.1,2020,Began prenatal care in 1st trimester,Tennessee,Tennessee,South,TN
515,1398,1237,87.9,85.7,89.8,2020,Began prenatal care in 1st trimester,Utah,Utah,West,UT
516,797,740,92.5,90.3,94.2,2020,Began prenatal care in 1st trimester,Vermont,Vermont,Northeast,VT
517,915,814,86.1,82.1,89.4,2020,Began prenatal care in 1st trimester,Virginia,Virginia,South,VA
518,1203,1070,90.5,88.2,92.3,2020,Began prenatal care in 1st trimester,Washington,Washington,West,WA
519,586,528,90.3,87.0,92.9,2020,Began prenatal care in 1st trimester,West Virginia,West Virginia,South,WV
520,1654,1389,89.0,86.8,90.9,2020,Began prenatal care in 1st trimester,Wisconsin,Wisconsin,Midwest,WI
521,460,395,85.2,80.5,88.9,2020,Began prenatal care in 1st trimester,Wyoming,Wyoming,West,WY
522,632,320,48.9,45.0,52.7,2020,Had a flu shot in the 12 months before delivery,Alabama,Alabama,South,AL
523,987,639,64.1,60.6,67.5,2020,Had a flu shot in the 12 months before delivery,Alaska,Alaska,West,AK
524,787,453,56.8,53.3,60.3,2020,Had a flu shot in the 12 months before delivery,Arizona,Arizona,West,AZ
525,906,501,58.2,53.2,63.1,2020,Had a flu shot in the 12 months before delivery,Arkansas,Arkansas,South,AR
526,1040,751,74.7,71.6,77.6,2020,Had a flu shot in the 12 months before delivery,Colorado,Colorado,West,CO
527,1345,963,73.5,70.5,76.3,2020,Had a flu shot in the 12 months before delivery,Connecticut,Connecticut,Northeast,CT
528,834,525,62.4,58.7,65.9,2020,Had a flu shot in the 12 months before delivery,Delaware,Delaware,South,DE
529,1070,403,41.4,37.7,45.3,2020,Had a flu shot in the 12 months before delivery,Florida,Florida,South,FL
530,682,285,40.6,35.9,45.4,2020,Had a flu shot in the 12 months before delivery,Georgia,Georgia,South,GA
531,1193,705,68.6,65.3,71.7,2020,Had a flu shot in the 12 months before delivery,Hawaii,Hawaii,West,HI
532,1198,774,64.6,61.6,67.6,2020,Had a flu shot in the 12 months before delivery,Illinois,Illinois,Midwest,IL
533,701,504,76.9,72.6,80.7,2020,Had a flu shot in the 12 months before delivery,Iowa,Iowa,Midwest,IA
534,1146,790,70.9,67.5,74.0,2020,Had a flu shot in the 12 months before delivery,Kansas,Kansas,Midwest,KS
535,796,446,53.5,48.9,58.0,2020,Had a flu shot in the 12 months before delivery,Kentucky,Kentucky,South,KY
536,676,358,52.9,49.0,56.8,2020,Had a flu shot in the 12 months before delivery,Louisiana,Louisiana,South,LA
537,876,634,72.6,69.1,75.9,2020,Had a flu shot in the 12 months before delivery,Maine,Maine,Northeast,ME
538,977,682,70.4,66.6,73.9,2020,Had a flu shot in the 12 months before delivery,Maryland,Maryland,South,MD
539,1366,1082,79.7,76.7,82.4,2020,Had a flu shot in the 12 months before delivery,Massachusetts,Massachusetts,Northeast,MA
540,1372,718,57.9,54.8,61.0,2020,Had a flu shot in the 12 months before delivery,Michigan,Michigan,Midwest,MI
541,617,417,68.2,62.9,73.1,2020,Had a flu shot in the 12 months before delivery,Minnesota,Minnesota,Midwest,MN
542,987,436,47.7,43.7,51.8,2020,Had a flu shot in the 12 months before delivery,Mississippi,Mississippi,South,MS
543,959,617,64.5,61.0,67.9,2020,Had a flu shot in the 12 months before delivery,Missouri,Missouri,Midwest,MO
544,691,484,68.6,64.6,72.4,2020,Had a flu shot in the 12 months before delivery,Montana,Montana,West,MT
545,1454,1117,76.0,72.8,78.9,2020,Had a flu shot in the 12 months before delivery,Nebraska,Nebraska,Midwest,NE
546,643,491,75.1,70.8,79.0,2020,Had a flu shot in the 12 months before delivery,New Hampshire,New Hampshire,Northeast,NH
547,1071,644,60.7,57.5,63.8,2020,Had a flu shot in the 12 months before delivery,New Jersey,New Jersey,Northeast,NJ
548,1023,718,67.4,64.3,70.3,2020,Had a flu shot in the 12 months before delivery,New Mexico,New Mexico,West,NM
549,767,563,74.2,70.1,77.9,2020,Had a flu shot in the 12 months before delivery,North Dakota,North Dakota,Midwest,ND
550,1616,1101,66.9,63.2,70.5,2020,Had a flu shot in the 12 months before delivery,Oregon,Oregon,West,OR
551,1193,779,64.4,61.3,67.5,2020,Had a flu shot in the 12 months before delivery,Pennsylvania,Pennsylvania,Northeast,PA
552,967,727,76.0,72.8,78.9,2020,Had a flu shot in the 12 months before delivery,South Dakota,South Dakota,Midwest,SD
553,608,328,54.7,49.3,60.0,2020,Had a flu shot in the 12 months before delivery,Tennessee,Tennessee,South,TN
554,1404,947,68.3,65.3,71.0,2020,Had a flu shot in the 12 months before delivery,Utah,Utah,West,UT
555,795,554,67.3,63.8,70.5,2020,Had a flu shot in the 12 months before delivery,Vermont,Vermont,Northeast,VT
556,928,658,64.6,59.6,69.3,2020,Had a flu shot in the 12 months before delivery,Virginia,Virginia,South,VA
557,1222,898,74.0,70.8,77.0,2020,Had a flu shot in the 12 months before delivery,Washington,Washington,West,WA
558,590,378,64.8,60.0,69.4,2020,Had a flu shot in the 12 months before delivery,West Virginia,West Virginia,South,WV
559,1672,1100,70.8,67.3,74.0,2020,Had a flu shot in the 12 months before delivery,Wisconsin,Wisconsin,Midwest,WI
560,457,293,63.5,57.7,68.9,2020,Had a flu shot in the 12 months before delivery,Wyoming,Wyoming,West,WY
561,613,561,91.1,88.5,93.2,2020,Had maternal postpartum checkup,Alabama,Alabama,South,AL
562,986,823,85.0,82.4,87.3,2020,Had maternal postpartum checkup,Alaska,Alaska,West,AK
563,792,687,85.2,82.4,87.6,2020,Had maternal postpartum checkup,Arizona,Arizona,West,AZ
564,904,777,88.3,84.6,91.2,2020,Had maternal postpartum checkup,Arkansas,Arkansas,South,AR
565,1045,934,88.5,85.9,90.6,2020,Had maternal postpartum checkup,Colorado,Colorado,West,CO
566,1345,1221,92.2,90.4,93.7,2020,Had maternal postpartum checkup,Connecticut,Connecticut,Northeast,CT
567,834,733,88.0,85.3,90.2,2020,Had maternal postpartum checkup,Delaware,Delaware,South,DE
568,1059,936,89.3,86.8,91.5,2020,Had maternal postpartum checkup,Florida,Florida,South,FL
569,684,609,89.2,85.8,91.9,2020,Had maternal postpartum checkup,Georgia,Georgia,South,GA
570,1206,1077,90.5,88.1,92.4,2020,Had maternal postpartum checkup,Hawaii,Hawaii,West,HI
571,1191,1093,91.4,89.4,93.1,2020,Had maternal postpartum checkup,Illinois,Illinois,Midwest,IL
572,692,618,91.3,88.1,93.7,2020,Had maternal postpartum checkup,Iowa,Iowa,Midwest,IA
573,1166,1030,89.6,87.2,91.6,2020,Had maternal postpartum checkup,Kansas,Kansas,Midwest,KS
574,788,690,86.0,82.3,89.0,2020,Had maternal postpartum checkup,Kentucky,Kentucky,South,KY
575,690,600,86.3,83.4,88.8,2020,Had maternal postpartum checkup,Louisiana,Louisiana,South,LA
576,877,795,90.4,87.8,92.5,2020,Had maternal postpartum checkup,Maine,Maine,Northeast,ME
577,993,905,90.3,87.7,92.4,2020,Had maternal postpartum checkup,Maryland,Maryland,South,MD
578,1361,1195,90.3,88.2,92.1,2020,Had maternal postpartum checkup,Massachusetts,Massachusetts,Northeast,MA
579,1370,1152,86.4,84.1,88.4,2020,Had maternal postpartum checkup,Michigan,Michigan,Midwest,MI
580,619,515,85.9,81.5,89.4,2020,Had maternal postpartum checkup,Minnesota,Minnesota,Midwest,MN
581,985,853,86.9,83.9,89.4,2020,Had maternal postpartum checkup,Mississippi,Mississippi,South,MS
582,954,812,85.1,82.3,87.5,2020,Had maternal postpartum checkup,Missouri,Missouri,Midwest,MO
583,698,610,89.8,87.1,91.9,2020,Had maternal postpartum checkup,Montana,Montana,West,MT
584,1468,1259,88.3,86.1,90.3,2020,Had maternal postpartum checkup,Nebraska,Nebraska,Midwest,NE
585,647,593,90.3,86.9,92.9,2020,Had maternal postpartum checkup,New Hampshire,New Hampshire,Northeast,NH
586,1080,907,84.9,82.5,87.1,2020,Had maternal postpartum checkup,New Jersey,New Jersey,Northeast,NJ
587,1024,904,86.2,83.8,88.4,2020,Had maternal postpartum checkup,New Mexico,New Mexico,West,NM
588,767,634,89.3,86.3,91.6,2020,Had maternal postpartum checkup,North Dakota,North Dakota,Midwest,ND
589,1644,1459,91.9,89.7,93.6,2020,Had maternal postpartum checkup,Oregon,Oregon,West,OR
590,1190,1046,87.2,84.8,89.2,2020,Had maternal postpartum checkup,Pennsylvania,Pennsylvania,Northeast,PA
591,965,787,87.4,85.3,89.2,2020,Had maternal postpartum checkup,South Dakota,South Dakota,Midwest,SD
592,614,534,88.7,84.8,91.6,2020,Had maternal postpartum checkup,Tennessee,Tennessee,South,TN
593,1402,1232,88.9,86.9,90.6,2020,Had maternal postpartum checkup,Utah,Utah,West,UT
594,796,720,90.1,87.7,92.1,2020,Had maternal postpartum checkup,Vermont,Vermont,Northeast,VT
595,930,828,87.1,83.2,90.2,2020,Had maternal postpartum checkup,Virginia,Virginia,South,VA
596,1228,1104,90.7,88.4,92.5,2020,Had maternal postpartum checkup,Washington,Washington,West,WA
597,591,523,88.9,85.5,91.6,2020,Had maternal postpartum checkup,West Virginia,West Virginia,South,WV
598,1649,1393,88.6,86.1,90.7,2020,Had maternal postpartum checkup,Wisconsin,Wisconsin,Midwest,WI
599,452,399,90.1,86.0,93.1,2020,Had maternal postpartum checkup,Wyoming,Wyoming,West,WY
600,693,381,54.8,51.1,58.4,2021,Health care visit in the 12 months before pregnancy ,Alabama,Alabama,South,AL
601,831,492,61.9,56.8,66.8,2021,Health care visit in the 12 months before pregnancy ,Arkansas,Arkansas,South,AR
602,1257,899,70.2,67.1,73.0,2021,Health care visit in the 12 months before pregnancy ,Colorado,Colorado,West,CO
603,1314,854,71.5,68.6,74.1,2021,Health care visit in the 12 months before pregnancy ,Connecticut,Connecticut,Northeast,CT
604,825,546,65.6,61.9,69.1,2021,Health care visit in the 12 months before pregnancy ,Delaware,Delaware,South,DE
605,779,477,59.1,54.5,63.5,2021,Health care visit in the 12 months before pregnancy ,Georgia,Georgia,South,GA
606,1330,840,62.9,59.2,66.4,2021,Health care visit in the 12 months before pregnancy ,Hawaii,Hawaii,West,HI
607,1084,774,69.6,66.3,72.6,2021,Health care visit in the 12 months before pregnancy ,Illinois,Illinois,Midwest,IL
608,1129,779,66.8,63.3,70.2,2021,Health care visit in the 12 months before pregnancy ,Kansas,Kansas,Midwest,KS
609,664,426,64.7,60.7,68.4,2021,Health care visit in the 12 months before pregnancy ,Louisiana,Louisiana,South,LA
610,785,619,75.3,71.3,78.8,2021,Health care visit in the 12 months before pregnancy ,Maine,Maine,Northeast,ME
611,1313,907,76.2,73.5,78.7,2021,Health care visit in the 12 months before pregnancy ,Massachusetts,Massachusetts,Northeast,MA
612,1366,904,68.2,65.1,71.2,2021,Health care visit in the 12 months before pregnancy ,Michigan,Michigan,Midwest,MI
613,590,442,78.8,73.3,83.4,2021,Health care visit in the 12 months before pregnancy ,Minnesota,Minnesota,Midwest,MN
614,877,482,57.8,53.7,61.8,2021,Health care visit in the 12 months before pregnancy ,Mississippi,Mississippi,South,MS
615,825,550,64.7,60.7,68.4,2021,Health care visit in the 12 months before pregnancy ,Missouri,Missouri,Midwest,MO
616,1154,826,74.0,71.2,76.6,2021,Health care visit in the 12 months before pregnancy ,Montana,Montana,West,MT
617,1223,738,67.5,64.1,70.6,2021,Health care visit in the 12 months before pregnancy ,Nebraska,Nebraska,Midwest,NE
618,931,604,65.7,62.5,68.8,2021,Health care visit in the 12 months before pregnancy ,New Jersey,New Jersey,Northeast,NJ
619,1061,642,58.5,55.6,61.4,2021,Health care visit in the 12 months before pregnancy ,New Mexico,New Mexico,West,NM
620,580,367,71.0,66.8,74.8,2021,Health care visit in the 12 months before pregnancy ,North Dakota,North Dakota,Midwest,ND
621,1440,786,56.9,53.1,60.7,2021,Health care visit in the 12 months before pregnancy ,Oklahoma,Oklahoma,South,OK
622,1843,1150,68.5,65.3,71.5,2021,Health care visit in the 12 months before pregnancy ,Oregon,Oregon,West,OR
623,908,628,65.3,61.3,69.0,2021,Health care visit in the 12 months before pregnancy ,Pennsylvania,Pennsylvania,Northeast,PA
624,1019,609,67.2,64.0,70.3,2021,Health care visit in the 12 months before pregnancy ,South Dakota,South Dakota,Midwest,SD
625,615,385,64.0,59.4,68.3,2021,Health care visit in the 12 months before pregnancy ,Tennessee,Tennessee,South,TN
626,1251,900,73.8,71.0,76.4,2021,Health care visit in the 12 months before pregnancy ,Utah,Utah,West,UT
627,950,786,79.6,76.8,82.1,2021,Health care visit in the 12 months before pregnancy ,Vermont,Vermont,Northeast,VT
628,929,648,64.0,58.6,69.2,2021,Health care visit in the 12 months before pregnancy ,Virginia,Virginia,South,VA
629,1132,718,66.4,63.2,69.6,2021,Health care visit in the 12 months before pregnancy ,Washington,Washington,West,WA
630,599,325,58.1,53.2,62.8,2021,Health care visit in the 12 months before pregnancy ,West Virginia,West Virginia,South,WV
631,758,534,77.4,73.6,80.8,2021,Health care visit in the 12 months before pregnancy ,Wisconsin,Wisconsin,Midwest,WI
632,448,317,73.9,68.7,78.6,2021,Health care visit in the 12 months before pregnancy ,Wyoming,Wyoming,West,WY
633,680,577,84.3,81.2,86.9,2021,Began prenatal care in 1st trimester,Alabama,Alabama,South,AL
634,809,675,84.1,79.9,87.5,2021,Began prenatal care in 1st trimester,Arkansas,Arkansas,South,AR
635,1240,1144,90.5,88.2,92.4,2021,Began prenatal care in 1st trimester,Colorado,Colorado,West,CO
636,1292,1154,91.9,90.3,93.3,2021,Began prenatal care in 1st trimester,Connecticut,Connecticut,Northeast,CT
637,818,653,79.6,76.3,82.5,2021,Began prenatal care in 1st trimester,Delaware,Delaware,South,DE
638,775,696,88.0,84.5,90.8,2021,Began prenatal care in 1st trimester,Georgia,Georgia,South,GA
639,1301,1129,86.9,84.2,89.1,2021,Began prenatal care in 1st trimester,Hawaii,Hawaii,West,HI
640,1104,1007,91.0,88.8,92.8,2021,Began prenatal care in 1st trimester,Illinois,Illinois,Midwest,IL
641,1120,998,88.2,85.5,90.4,2021,Began prenatal care in 1st trimester,Kansas,Kansas,Midwest,KS
642,653,590,89.9,87.0,92.2,2021,Began prenatal care in 1st trimester,Louisiana,Louisiana,South,LA
643,777,709,91.5,88.7,93.6,2021,Began prenatal care in 1st trimester,Maine,Maine,Northeast,ME
644,1305,1174,92.2,90.4,93.7,2021,Began prenatal care in 1st trimester,Massachusetts,Massachusetts,Northeast,MA
645,1332,1162,89.5,87.4,91.4,2021,Began prenatal care in 1st trimester,Michigan,Michigan,Midwest,MI
646,623,544,88.3,83.9,91.6,2021,Began prenatal care in 1st trimester,Minnesota,Minnesota,Midwest,MN
647,851,707,85.5,82.4,88.1,2021,Began prenatal care in 1st trimester,Mississippi,Mississippi,South,MS
648,812,733,89.5,86.5,91.8,2021,Began prenatal care in 1st trimester,Missouri,Missouri,Midwest,MO
649,1154,1013,89.7,87.8,91.3,2021,Began prenatal care in 1st trimester,Montana,Montana,West,MT
650,1197,1035,89.6,87.3,91.5,2021,Began prenatal care in 1st trimester,Nebraska,Nebraska,Midwest,NE
651,909,801,88.3,85.8,90.5,2021,Began prenatal care in 1st trimester,New Jersey,New Jersey,Northeast,NJ
652,1040,899,85.6,83.3,87.6,2021,Began prenatal care in 1st trimester,New Mexico,New Mexico,West,NM
653,578,501,89.1,85.9,91.6,2021,Began prenatal care in 1st trimester,North Dakota,North Dakota,Midwest,ND
654,1438,1223,87.2,84.5,89.4,2021,Began prenatal care in 1st trimester,Oklahoma,Oklahoma,South,OK
655,1796,1559,89.7,87.5,91.5,2021,Began prenatal care in 1st trimester,Oregon,Oregon,West,OR
656,905,799,87.8,84.9,90.3,2021,Began prenatal care in 1st trimester,Pennsylvania,Pennsylvania,Northeast,PA
657,966,812,87.3,85.0,89.4,2021,Began prenatal care in 1st trimester,South Dakota,South Dakota,Midwest,SD
658,610,532,88.2,84.9,90.8,2021,Began prenatal care in 1st trimester,Tennessee,Tennessee,South,TN
659,1235,1092,89.2,87.1,91.1,2021,Began prenatal care in 1st trimester,Utah,Utah,West,UT
660,935,878,93.7,92.0,95.1,2021,Began prenatal care in 1st trimester,Vermont,Vermont,Northeast,VT
661,916,826,89.8,86.1,92.7,2021,Began prenatal care in 1st trimester,Virginia,Virginia,South,VA
662,1126,1005,90.0,87.7,91.9,2021,Began prenatal care in 1st trimester,Washington,Washington,West,WA
663,583,542,93.3,90.4,95.4,2021,Began prenatal care in 1st trimester,West Virginia,West Virginia,South,WV
664,742,659,91.3,88.2,93.6,2021,Began prenatal care in 1st trimester,Wisconsin,Wisconsin,Midwest,WI
665,447,396,87.4,82.8,90.9,2021,Began prenatal care in 1st trimester,Wyoming,Wyoming,West,WY
666,675,316,45.5,41.7,49.2,2021,Had a flu shot in the 12 months before delivery,Alabama,Alabama,South,AL
667,824,366,48.7,43.5,53.9,2021,Had a flu shot in the 12 months before delivery,Arkansas,Arkansas,South,AR
668,1250,837,68.7,65.7,71.5,2021,Had a flu shot in the 12 months before delivery,Colorado,Colorado,West,CO
669,1293,854,70.0,66.9,72.9,2021,Had a flu shot in the 12 months before delivery,Connecticut,Connecticut,Northeast,CT
670,814,478,57.0,53.1,60.7,2021,Had a flu shot in the 12 months before delivery,Delaware,Delaware,South,DE
671,774,281,38.1,33.7,42.6,2021,Had a flu shot in the 12 months before delivery,Georgia,Georgia,South,GA
672,1326,708,60.0,56.4,63.4,2021,Had a flu shot in the 12 months before delivery,Hawaii,Hawaii,West,HI
673,1109,618,54.6,51.3,57.9,2021,Had a flu shot in the 12 months before delivery,Illinois,Illinois,Midwest,IL
674,1118,683,61.3,57.6,64.8,2021,Had a flu shot in the 12 months before delivery,Kansas,Kansas,Midwest,KS
675,663,296,45.7,41.7,49.7,2021,Had a flu shot in the 12 months before delivery,Louisiana,Louisiana,South,LA
676,778,514,62.5,58.3,66.5,2021,Had a flu shot in the 12 months before delivery,Maine,Maine,Northeast,ME
677,1299,1006,78.4,75.4,81.2,2021,Had a flu shot in the 12 months before delivery,Massachusetts,Massachusetts,Northeast,MA
678,1353,635,52.5,49.2,55.7,2021,Had a flu shot in the 12 months before delivery,Michigan,Michigan,Midwest,MI
679,621,382,69.2,63.7,74.2,2021,Had a flu shot in the 12 months before delivery,Minnesota,Minnesota,Midwest,MN
680,874,316,39.4,35.5,43.6,2021,Had a flu shot in the 12 months before delivery,Mississippi,Mississippi,South,MS
681,816,467,56.3,52.2,60.2,2021,Had a flu shot in the 12 months before delivery,Missouri,Missouri,Midwest,MO
682,1142,667,59.4,56.2,62.4,2021,Had a flu shot in the 12 months before delivery,Montana,Montana,West,MT
683,1188,818,69.6,66.0,72.9,2021,Had a flu shot in the 12 months before delivery,Nebraska,Nebraska,Midwest,NE
684,910,505,53.8,50.3,57.3,2021,Had a flu shot in the 12 months before delivery,New Jersey,New Jersey,Northeast,NJ
685,1041,612,57.2,54.2,60.1,2021,Had a flu shot in the 12 months before delivery,New Mexico,New Mexico,West,NM
686,576,377,65.6,60.9,69.9,2021,Had a flu shot in the 12 months before delivery,North Dakota,North Dakota,Midwest,ND
687,1441,672,46.4,42.6,50.3,2021,Had a flu shot in the 12 months before delivery,Oklahoma,Oklahoma,South,OK
688,1815,1164,61.3,57.8,64.7,2021,Had a flu shot in the 12 months before delivery,Oregon,Oregon,West,OR
689,918,524,56.1,52.2,60.0,2021,Had a flu shot in the 12 months before delivery,Pennsylvania,Pennsylvania,Northeast,PA
690,1016,666,69.4,66.2,72.5,2021,Had a flu shot in the 12 months before delivery,South Dakota,South Dakota,Midwest,SD
691,616,299,52.0,47.4,56.6,2021,Had a flu shot in the 12 months before delivery,Tennessee,Tennessee,South,TN
692,1249,749,61.5,58.3,64.6,2021,Had a flu shot in the 12 months before delivery,Utah,Utah,West,UT
693,942,679,69.9,66.8,72.8,2021,Had a flu shot in the 12 months before delivery,Vermont,Vermont,Northeast,VT
694,926,617,58.9,53.5,64.2,2021,Had a flu shot in the 12 months before delivery,Virginia,Virginia,South,VA
695,1126,723,63.5,60.0,66.8,2021,Had a flu shot in the 12 months before delivery,Washington,Washington,West,WA
696,598,382,65.4,60.6,69.9,2021,Had a flu shot in the 12 months before delivery,West Virginia,West Virginia,South,WV
697,753,463,65.3,60.7,69.7,2021,Had a flu shot in the 12 months before delivery,Wisconsin,Wisconsin,Midwest,WI
698,443,254,56.2,50.5,61.7,2021,Had a flu shot in the 12 months before delivery,Wyoming,Wyoming,West,WY
699,671,618,92.2,89.8,94.1,2021,Had maternal postpartum checkup,Alabama,Alabama,South,AL
700,820,698,87.1,83.2,90.2,2021,Had maternal postpartum checkup,Arkansas,Arkansas,South,AR
701,1250,1156,92.2,90.2,93.8,2021,Had maternal postpartum checkup,Colorado,Colorado,West,CO
702,1314,1238,94.9,93.3,96.1,2021,Had maternal postpartum checkup,Connecticut,Connecticut,Northeast,CT
703,820,718,87.7,85.0,90.0,2021,Had maternal postpartum checkup,Delaware,Delaware,South,DE
704,774,704,90.7,87.6,93.0,2021,Had maternal postpartum checkup,Georgia,Georgia,South,GA
705,1330,1195,88.7,86.1,90.9,2021,Had maternal postpartum checkup,Hawaii,Hawaii,West,HI
706,1110,1033,93.2,91.2,94.7,2021,Had maternal postpartum checkup,Illinois,Illinois,Midwest,IL
707,1123,1023,91.7,89.3,93.5,2021,Had maternal postpartum checkup,Kansas,Kansas,Midwest,KS
708,659,589,89.1,86.3,91.4,2021,Had maternal postpartum checkup,Louisiana,Louisiana,South,LA
709,783,729,93.3,90.8,95.2,2021,Had maternal postpartum checkup,Maine,Maine,Northeast,ME
710,1292,1176,92.6,90.7,94.1,2021,Had maternal postpartum checkup,Massachusetts,Massachusetts,Northeast,MA
711,1353,1172,87.5,85.0,89.6,2021,Had maternal postpartum checkup,Michigan,Michigan,Midwest,MI
712,627,548,92.2,88.7,94.7,2021,Had maternal postpartum checkup,Minnesota,Minnesota,Midwest,MN
713,841,724,88.1,85.1,90.5,2021,Had maternal postpartum checkup,Mississippi,Mississippi,South,MS
714,819,736,89.4,86.6,91.8,2021,Had maternal postpartum checkup,Missouri,Missouri,Midwest,MO
715,1146,1030,91.1,89.2,92.6,2021,Had maternal postpartum checkup,Montana,Montana,West,MT
716,1195,1064,91.0,88.7,92.8,2021,Had maternal postpartum checkup,Nebraska,Nebraska,Midwest,NE
717,924,831,90.4,88.3,92.3,2021,Had maternal postpartum checkup,New Jersey,New Jersey,Northeast,NJ
718,1043,925,87.8,85.6,89.7,2021,Had maternal postpartum checkup,New Mexico,New Mexico,West,NM
719,581,510,92.4,90.1,94.2,2021,Had maternal postpartum checkup,North Dakota,North Dakota,Midwest,ND
720,1445,1248,88.0,85.3,90.2,2021,Had maternal postpartum checkup,Oklahoma,Oklahoma,South,OK
721,1825,1642,90.8,88.7,92.6,2021,Had maternal postpartum checkup,Oregon,Oregon,West,OR
722,916,833,90.7,88.1,92.8,2021,Had maternal postpartum checkup,Pennsylvania,Pennsylvania,Northeast,PA
723,1014,859,90.9,89.4,92.2,2021,Had maternal postpartum checkup,South Dakota,South Dakota,Midwest,SD
724,619,532,88.7,85.6,91.1,2021,Had maternal postpartum checkup,Tennessee,Tennessee,South,TN
725,1234,1106,90.7,88.7,92.3,2021,Had maternal postpartum checkup,Utah,Utah,West,UT
726,908,858,94.4,92.7,95.7,2021,Had maternal postpartum checkup,Vermont,Vermont,Northeast,VT
727,925,849,92.0,88.3,94.5,2021,Had maternal postpartum checkup,Virginia,Virginia,South,VA
728,1132,1038,92.7,90.7,94.3,2021,Had maternal postpartum checkup,Washington,Washington,West,WA
729,601,557,93.8,91.1,95.7,2021,Had maternal postpartum checkup,West Virginia,West Virginia,South,WV
730,740,662,92.6,89.9,94.6,2021,Had maternal postpartum checkup,Wisconsin,Wisconsin,Midwest,WI
731,442,408,93.3,89.6,95.7,2021,Had maternal postpartum checkup,Wyoming,Wyoming,West,WY
